name,epigenetics
1,00000000000000000000000000000000
2,00000000000000000000000000000000
3,00000000000000000000000000000000
4,00000000000000000000000000000000
5,00000000000000000000000000000000
6,00000000000000000000000000000000
7,00000000000000000000000000000000
8,00000000000000000000000000000000
9,00000000000000000000000000000000
10,11111111111111111111111111111111
11,11111111111111111111111111111111
12,00000000000000000000000000000000
13,11111111111111111111111111111111
14,00000000000000000000000000000000
15,00000000000000000000000000000000
16,00000000000000000000000000000000
17,00000000000000000000000000000000
18,11111111111111111111111111111111
19,00000000000000000000000000000000
20,00000000000000000000000000000000
21,00000000000000000000000000000000
22,11111111111111111111111111111111
23,00000000000000000000000000000000
24,11111111111111111111111111111111
25,00000000000000000000000000000000
26,00000000000000000000000000000000
27,00000000000000000000000000000000
28,00000000000000000000000000000000
29,00000000000000000000000000000000
30,11111111111111111111111111111111
31,00000000000000000000000000000000
32,00000000000000000000000000000000
33,00000000000000000000000000000000
34,00000000000000000000000000000000
35,00000000000000000000000000000000
36,00000000000000000000000000000000
37,00000000000000000000000000000000
38,11111111111111111111111111111111
39,00000000000000000000000000000000
40,11111111111111111111111111111111
41,00000000000000000000000000000000
42,11111111111111111111111111111111
43,11111111111111111111111111111111
44,11111111111111111111111111111111
45,11111111111111111111111111111111
46,00000000000000000000000000000000
47,00000000000000000000000000000000
48,00000000000000000000000000000000
49,00000000000000000000000000000000
50,11111111111111111111111111111111
51,00000000000000000000000000000000
52,00000000000000000000000000000000
53,11111111111111111111111111111111
54,11111111111111111111111111111111
55,11111111111111111111111111111111
56,00000000000000000000000000000000
57,00000000000000000000000000000000
58,00000000000000000000000000000000
59,00000000000000000000000000000000
60,00000000000000000000000000000000
61,00000000000000000000000000000000
62,00000000000000000000000000000000
63,00000000000000000000000000000000
64,00000000000000000000000000000000
65,11111111111111111111111111111111
66,11111111111111111111111111111111
67,00000000000000000000000000000000
68,00000000000000000000000000000000
69,00000000000000000000000000000000
70,00000000000000000000000000000000
71,00000000000000000000000000000000
72,11111111111111111111111111111111
73,11110000000000000000000000000000
74,00000000000000000000000000000000
75,00000000000000000000000000000000
76,00000000000000000000000000000000
77,00000000000000000000000000000000
78,00000000000000000000000000000000
79,00000000000000000000000000000000
80,00000000000000000000000000000000
81,00000000000000000000000000000000
82,00000000000000000000000000000000
83,00000000000000000000000000000000
84,00000000000000000000000000000000
85,11111111111111111111111111111111
86,11111111111111111111111111111111
87,11111111111111111111111111111111
88,00000000000000000000000000000000
89,00000000000000000000000000000000
90,00000000000000000000000000000000
91,00000000000000000000000000000000
92,00000000000000000000000000000000
93,11111111111111111111111111111111
94,00000000000000000000000000000000
95,00000000000000000000000000000000
96,00000000000000000000000000000000
