name,epigenetics
1,"0,0,0,0,0,0,0,0,0,0,0,0.971666673819224,0.971666673819224,0.971666673819224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9396666884422302,0.9396666884422302,0.9396666884422302,0,0,0,0,0"
6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
7,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9776666760444641,0.9776666760444641,0.9776666760444641,0,0"
8,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
9,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
10,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975000003973643,0.975000003973643,0.975000003973643,0,0,0,0.9353333115577698,0.9353333115577698,0.9353333115577698,0,0,0,0,0,0"
11,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
12,"0,0,0,0,0,0,0,0,0,0,0,0.9683333436648051,0.9683333436648051,0.9683333436648051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
13,"0,0,0,0,0,0,0,0,0.9729999899864197,0.9729999899864197,0.9729999899864197,0,0,0,0,0,0,0,0,0,0,0,0.9660000006357828,0.9660000006357828,0.9660000006357828,0,0,0.9623333414395651,0.9623333414395651,0.9623333414395651,0,0"
14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
15,"0,0,0,0,0.953333338101705,0.953333338101705,0.953333338101705,0,0,0,0.9833333293596903,0.9833333293596903,0.9833333293596903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
16,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
17,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
18,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
19,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
20,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9573333263397217,0.9573333263397217,0.9573333263397217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
21,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
22,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
23,"0,0,0,0.9749999841054281,0.9749999841054281,0.9749999841054281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
24,"0,0,0,0,0,0,0,0,0,0,0.9849999944368998,0.9849999944368998,0.9849999944368998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
25,"0,0,0,0,0,0,0,0,0,0,0,0,0,0.9746666749318441,0.9746666749318441,0.9746666749318441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
26,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
27,"0,0,0.975000003973643,0.975000003973643,0.975000003973643,0,0,0,0,0,0,0,0,0.9693333307902018,0.9693333307902018,0.9693333307902018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
28,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
29,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
30,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
31,"0.8480000098546346,0.8480000098546346,0,0,0,0,0,0,0,0,0,0,0,0,0.8883333206176758,0.8883333206176758,0.8883333206176758,0,0,0,0.9769999980926514,0.9769999980926514,0.9769999980926514,0,0,0,0,0,0,0,0,0"
32,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
33,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
